,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature
danish_atm_daily_52,0.1560852850273859,1.157359751254475e-05,-63607.59416168927,112.0,0.8039448196229864,11.0,1.0,58.8,0.0051353767560664,0.3734817001919015,0.0360655737704918,0.0086091954022988,0.0,1.0,0.1465402872385227,2.2343465151367817e-07,0.2163478251424046,-0.3153835347015223
danish_atm_daily_53,0.0021355548381791,1.354506584249505e-06,-54680.55119771804,111.0,0.816771559914711,5.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_54,1.4901161193847656e-08,8.442576128026723e-09,-57675.7751464862,115.0,0.891979729096121,8.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_55,0.0814071599259942,0.0019032589371762,-57792.30875469285,117.0,0.7707625503720243,5.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_56,0.2699429875385888,1.0965274329036226e-08,-28070.799567990733,118.0,0.8969968069435089,8.0,1.0,73.5,0.0051739747410245,0.5682099453745736,0.0360655737704918,0.011367816091954,0.0,1.0,0.3191456309967931,1.3052194754503034e-07,0.540941642239968,0.153387366254009
danish_atm_daily_57,0.0388299036846736,3.297031840241485e-08,-129808.71898482552,113.0,0.7647252250849093,6.0,1.0,100.66666666666669,0.0013459628210586,0.1241635614119643,0.0098360655737704,0.0016206896551724,0.0,1.0,0.0066313335321277,9.963812067346177e-08,-0.0696149583581365,0.0162592328090945
danish_atm_daily_58,0.3885260938073007,0.000219800337854,-16508.914860378107,123.0,0.8668663081041892,24.0,1.0,75.5,0.0009310344827586,0.0013580082545598,0.0098360655737704,0.0009310344827586,0.0,1.0,0.0175954144700178,9.647586835393656e-08,-0.0114388336738681,-0.1014376509944719
danish_atm_daily_59,0.1060781470540123,9.504156744141376e-09,-147536.97408204613,105.0,0.7486684277571964,6.0,1.0,152.0,0.0,4.740010428017083e-05,0.0032786885245901,0.0,0.0,1.0,0.0423688154507573,3.04072042983307e-08,-0.094711162192608,-0.0985793882428458
danish_atm_daily_6,0.0280817179261559,9.716709790201209e-05,-93710.18709292015,115.0,0.8730029091792699,16.0,1.0,28.8,0.0050881226053639,0.2331206260503268,0.0557377049180327,0.0149885057471264,0.0,1.0,0.087761618177381,3.483183297112768e-07,-0.2878355065048279,0.2279210784147366
danish_atm_daily_60,0.0594509332147142,0.0,-20242.783038648515,125.0,0.8383410844323667,5.0,1.0,74.75,0.0025849297573435,0.2667294515706611,0.0196721311475409,0.0037241379310344,0.0,1.0,0.1971805007666318,1.126091696143108e-07,-0.3496951964027991,-0.1907387559424344
